"week","prey","predator","source","citation"
38,266,1.125,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
39,786,2.55,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
40,817,4.375,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
41,786,10.675,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
42,1251,15.675,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
43,905,20.025,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
44,594,14.525,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
45,383,13.275,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
46,277,8.15,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
47,274,7.9,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
48,124,5.7,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
49,173,2.9,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
50,316,2.45,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
51,352,2.05,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
52,607,2.45,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
53,726,14.65,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
54,558,14.725,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
55,498,10.425,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
56,360,12.575,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
57,246,6.15,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
58,77,2.9,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
59,119,1.025,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
60,77,0.7,"gauseR::huffaker_1963","Huffaker 60-week mite predator-prey; digitized in gauseR"
