data_type,day,species,volume,treatment,source
real_digitized,17,aurelia,199.7534141,alone,gauseR::gause_1934_book_f22
real_digitized,18,aurelia,219.845256,alone,gauseR::gause_1934_book_f22
real_digitized,19,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,20,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,21,aurelia,227.1176041,alone,gauseR::gause_1934_book_f22
real_digitized,22,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,23,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,24,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,25,aurelia,NA,alone,gauseR::gause_1934_book_f22
real_digitized,2,caudatum,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,3,caudatum,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,4,caudatum,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,5,caudatum,48.32459934,mixture,gauseR::gause_1934_book_f22
real_digitized,6,caudatum,89.9599652,mixture,gauseR::gause_1934_book_f22
real_digitized,7,caudatum,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,8,caudatum,124.649644,mixture,gauseR::gause_1934_book_f22
real_digitized,9,caudatum,93.74574811,mixture,gauseR::gause_1934_book_f22
real_digitized,10,caudatum,78.34698749,mixture,gauseR::gause_1934_book_f22
real_digitized,11,caudatum,65.75767196,mixture,gauseR::gause_1934_book_f22
real_digitized,12,caudatum,86.26901241,mixture,gauseR::gause_1934_book_f22
real_digitized,13,caudatum,53.96163091,mixture,gauseR::gause_1934_book_f22
real_digitized,14,caudatum,66.02484549,mixture,gauseR::gause_1934_book_f22
real_digitized,15,caudatum,52.02214902,mixture,gauseR::gause_1934_book_f22
real_digitized,16,caudatum,55.63476389,mixture,gauseR::gause_1934_book_f22
real_digitized,17,caudatum,41.63701508,mixture,gauseR::gause_1934_book_f22
real_digitized,18,caudatum,47.35980605,mixture,gauseR::gause_1934_book_f22
real_digitized,19,caudatum,47.44639007,mixture,gauseR::gause_1934_book_f22
real_digitized,20,caudatum,51.76074776,mixture,gauseR::gause_1934_book_f22
real_digitized,21,caudatum,42.69498926,mixture,gauseR::gause_1934_book_f22
real_digitized,22,caudatum,23.06350731,mixture,gauseR::gause_1934_book_f22
real_digitized,23,caudatum,22.45082234,mixture,gauseR::gause_1934_book_f22
real_digitized,24,caudatum,36.61679153,mixture,gauseR::gause_1934_book_f22
real_digitized,25,caudatum,22.62399037,mixture,gauseR::gause_1934_book_f22
real_digitized,2,aurelia,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,3,aurelia,9.254182536,mixture,gauseR::gause_1934_book_f22
real_digitized,4,aurelia,19.04089105,mixture,gauseR::gause_1934_book_f22
real_digitized,5,aurelia,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,6,aurelia,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,7,aurelia,64.10295226,mixture,gauseR::gause_1934_book_f22
real_digitized,8,aurelia,86.64809554,mixture,gauseR::gause_1934_book_f22
real_digitized,9,aurelia,112.141348,mixture,gauseR::gause_1934_book_f22
real_digitized,10,aurelia,91.49997581,mixture,gauseR::gause_1934_book_f22
real_digitized,11,aurelia,116.98862,mixture,gauseR::gause_1934_book_f22
real_digitized,12,aurelia,124.3220271,mixture,gauseR::gause_1934_book_f22
real_digitized,13,aurelia,129.6917561,mixture,gauseR::gause_1934_book_f22
real_digitized,14,aurelia,150.7651489,mixture,gauseR::gause_1934_book_f22
real_digitized,15,aurelia,136.5021301,mixture,gauseR::gause_1934_book_f22
real_digitized,16,aurelia,142.3632107,mixture,gauseR::gause_1934_book_f22
real_digitized,17,aurelia,125.156115,mixture,gauseR::gause_1934_book_f22
real_digitized,18,aurelia,140.3407779,mixture,gauseR::gause_1934_book_f22
real_digitized,19,aurelia,120.6798047,mixture,gauseR::gause_1934_book_f22
real_digitized,20,aurelia,141.7537736,mixture,gauseR::gause_1934_book_f22
real_digitized,21,aurelia,132.3990857,mixture,gauseR::gause_1934_book_f22
real_digitized,22,aurelia,140.2244203,mixture,gauseR::gause_1934_book_f22
real_digitized,23,aurelia,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,24,aurelia,NA,mixture,gauseR::gause_1934_book_f22
real_digitized,25,aurelia,140.6247595,mixture,gauseR::gause_1934_book_f22
