"temperature","predation","plate_phenotypes","waterbath","shredder_biomass","diatom_biomass","gastropod_biomass","data_type","source","citation"
"ambient","no fish","no_fish",3,0.0999,0.538,3.4853,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",3,0.0912,0.2504,3.6039,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",4,0.0572,0.5888,3.6791,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",4,0.1309,0.4776,3.6073,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",4,0.1337,0.3032,3.5951,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"ambient","no fish","no_fish",4,0.1138,0.1504,3.6458,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","incompletely_plated",2,0.0191,0.4549,3.6378,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","completely_plated",1,0.0256,0.5832,3.624,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","incompletely_plated",1,0.0237,0.5175,3.5494,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","completely_plated",2,0.0081,0.5079,3.8494,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","both",2,0.0306,0.5199,3.7999,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","incompletely_plated",1,0.0162,0.4118,3.5029,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","incompletely_plated",2,0.0085,0.5808,3.8835,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","fish","both",1,0.031,0.3375,3.6381,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",1,0.1935,0.2055,3.682,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",1,0.1432,0.393,3.4861,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",1,0.2235,0.5305,3.6585,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",1,0.1145,0.3971,3.6576,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",2,0.1912,0.2247,3.5485,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",2,0.2152,0.2839,3.7265,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",2,0.1458,0.2721,3.6141,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
"high","no fish","no_fish",2,0.1539,0.2651,3.6747,"real_experimental","Dryad doi:10.5061/dryad.kprr4xhhn (doi_10_5061_dryad_kprr4xhhn__v20250626/Salo_et_al_predation.csv)","Salo et al. (2025) Functional Ecology; https://doi.org/10.5061/dryad.kprr4xhhn"
